"id" "task" "cond" "rms" "power" "mainfreq" "jerk" "mri"
"3" 3 11 "after" 3088,4721901049 411548441,157205 6,78571428571429 5943,05093982107 4701
"4" 4 11 "after" 3604,00583194416 540946621,101064 8,75 4913,8767994664 4698
"5" 5 11 "after" 2666,78807351163 230420439,127543 7,425 4580,46527411995 4710
"7" 7 11 "after" 2900,84799649597 415679785,994843 7,9 4635,7261857553 4721
"8" 8 11 "after" 2620,43117822499 315448118,396975 6,34090909090909 5509,50464977507 NA
"10" 10 11 "after" 2342,69835065982 224189223,389501 5,34210526315789 4372,46762984633 4713
"11" 13 11 "after" 3255,6395230026 346288437,003854 7,275 5461,18699036394 4827
"12" 14 11 "after" 4285,5544942048 962439670,300707 8,45 6695,72875022347 4708
"13" 16 11 "after" 29207,0789232957 98998931289,9598 4,1304347826087 14454,2290062383 4725
"14" 18 11 "after" 2586,46836452211 121066692,95863 10,7 6242,30499527175 4870
"15" 19 11 "after" 2057,30578047933 71030942,0236584 10,875 5393,03619749391 4735
"16" 20 11 "after" 3411,64835255344 357345637,265946 5,925 5427,19998856807 4851
"17" 21 11 "after" 2626,93936604561 141553351,611012 8,08333333333333 6252,94377792446 4726
"18" 22 11 "after" 2207,20226332655 108271246,057925 8,16666666666667 4818,73900199558 4742
"19" 23 11 "after" 3008,07542187795 414433813,247499 7,5 6015,18539811065 4719
"20" 24 11 "after" 3926,59303784363 737328136,832068 6,65789473684211 5636,46525909103 4839
"22" 26 11 "after" 2200,24353350342 119598041,068682 7,36666666666667 4815,67076799081 4853
"28" 34 11 "after" 2864,44234565134 378461933,133298 5,91666666666667 5041,03612767643 4848
"35" 42 11 "after" 2905,14766072441 173581451,506296 9,34782608695652 5737,19400307243 4856
"38" 45 11 "after" 5141,55560974902 2432019572,29289 8,53333333333333 7480,29905401435 4877
"46" 3 12 "after" 39663,0480187425 123378143295,065 4,40540540540541 14804,0869712313 4701
"47" 4 12 "after" 19205,035086927 11532980063,4437 3,88157894736842 8688,37494646219 4698
"48" 5 12 "after" 14496,0254350077 7752452584,80785 2,36585365853659 9661,98508893474 4710
"50" 7 12 "after" 15123,3323206694 24531934085,2917 5,81428571428571 8603,06206196686 4721
"51" 8 12 "after" 25543,4928797525 19480477929,9667 3,91935483870968 10149,4831885819 NA
"53" 10 12 "after" 23982,0356304887 29644672889,187 6,36486486486487 10153,718419477 4713
"54" 13 12 "after" 22923,6271468946 26472539832,2323 2,90540540540541 9204,75271203427 4827
"55" 14 12 "after" 60260,7035681052 117460180964,594 1,94642857142857 10494,0542085089 4708
"56" 16 12 "after" 188701,596681479 4368637231300,84 4,55714285714286 47377,0124943107 4725
"57" 18 12 "after" 51668,2932333184 105802707258,592 2,40277777777778 9388,56640146747 4870
"58" 19 12 "after" 16377,4218881397 8516989517,4931 2,48809523809524 6450,38771189773 4735
"59" 20 12 "after" 44872,7297250867 62522992354,8124 1 8769,40421402341 4851
"60" 21 12 "after" 30794,3774874617 74225645386,5437 2,765625 19273,6349471233 4726
"61" 22 12 "after" 15533,6620072057 8365130132,65404 5,765625 8296,70551653804 4742
"62" 23 12 "after" 27026,2360425955 29417950390,6351 5 8745,02728710718 4719
"63" 24 12 "after" 9115,48444452793 6841806250,82898 6,19444444444444 7051,02283092261 4839
"65" 26 12 "after" 15950,1139888807 16910301825,8328 2,55405405405405 7557,55411603905 4853
"71" 34 12 "after" 17886,7535560608 10192597858,4966 3,05 7952,85433230553 4848
"78" 42 12 "after" 32281,6491195115 32439308784,46 1,70833333333333 8959,72150525649 4856
"81" 45 12 "after" 24491,1301261796 53758504453,1022 4,77941176470588 11902,5896799252 4877
"89" 3 13 "after" 65332,4170563271 415993147342,42 5 31143,0943358597 4701
"90" 4 13 "after" 21549,1595397894 19272592892,7824 6,86111111111111 16843,4988006386 4698
"91" 5 13 "after" 12196,6746016434 8230514426,80873 5,75 11756,5793996576 4710
"93" 7 13 "after" 14801,1806578422 10915081394,3598 2,88095238095238 9236,30520210037 4721
"94" 8 13 "after" 15987,2908426032 36349690670,5023 5,94444444444444 8301,66538223812 NA
"96" 10 13 "after" 20481,2872269499 36330756974,968 7,3125 8480,52947304441 4713
"97" 13 13 "after" 6787,84259509035 3416610216,9271 5,92105263157895 7046,99924443469 4827
"98" 14 13 "after" 9203,60294244209 11187236946,6621 5,73684210526316 7251,45865498634 4708
"99" 16 13 "after" 258230,818884967 9936587641736,1 4,83333333333333 72755,5301621263 4725
"100" 18 13 "after" 10890,2957062575 12510462193,6032 7,60526315789474 6548,70579888758 4870
"101" 19 13 "after" 7215,32845390623 4025043128,10061 5,3 6746,11989185118 4735
"102" 20 13 "after" 14008,3462986623 11917664645,8825 5,44444444444444 9196,83343082826 4851
"103" 21 13 "after" 18718,6485975235 20201572581,0642 3,31818181818182 14346,1089238862 4726
"104" 22 13 "after" 14561,5861610889 10931613221,2086 6,16666666666667 8047,7641133556 4742
"105" 23 13 "after" 9531,38148181421 12791217868,6028 6,53125 7558,61232099575 4719
"106" 24 13 "after" 9052,80632886098 5988102657,6431 7,72727272727273 7144,09758044281 4839
"108" 26 13 "after" 7576,49428927447 3354316386,31475 4,95 7127,43714999588 4853
"114" 34 13 "after" 9406,52627240493 3760967418,42901 4,47619047619048 6792,21199604675 4848
"121" 42 13 "after" 14783,3268857298 31680398009,3674 7 8528,98350128758 4856
"124" 45 13 "after" 33916,7296836792 142899799904,506 6,52777777777778 10046,344497443 4877
